time,siteID,statistic,gcc_90,forecast,obs_flag,data_assimilation
2021-05-13,HARV,mean,0.34188,1,2,0
2021-05-13,BART,mean,0.38221,1,2,0
2021-05-13,SCBI,mean,0.42729,1,2,0
2021-05-13,STEI,mean,0.38505,1,2,0
2021-05-13,UKFS,mean,0.42044,1,2,0
2021-05-13,GRSM,mean,0.44569,1,2,0
2021-05-13,DELA,mean,0.4182,1,2,0
2021-05-13,CLBJ,mean,0.37715,1,2,0
2021-05-14,HARV,mean,0.33692285714285714,1,2,0
2021-05-15,HARV,mean,0.34167446018996267,1,2,0
2021-05-16,HARV,mean,0.3463920133052308,1,2,0
2021-05-17,HARV,mean,0.35107576049007455,1,2,0
2021-05-18,HARV,mean,0.3557259439973959,1,2,0
2021-05-19,HARV,mean,0.3603428043441151,1,2,0
2021-05-20,HARV,mean,0.3649265803236112,1,2,0
2021-05-21,HARV,mean,0.36947750901807264,1,2,0
2021-05-22,HARV,mean,0.3739958258107596,1,2,0
2021-05-23,HARV,mean,0.37848176439817854,1,2,0
2021-05-24,HARV,mean,0.3829355568021697,1,2,0
2021-05-25,HARV,mean,0.38735743338190726,1,2,0
2021-05-26,HARV,mean,0.39174762284581444,1,2,0
2021-05-27,HARV,mean,0.39610635226339247,1,2,0
2021-05-28,HARV,mean,0.4004338470769653,1,2,0
2021-05-29,HARV,mean,0.40473033111333967,1,2,0
2021-05-30,HARV,mean,0.4089960265953822,1,2,0
2021-05-31,HARV,mean,0.4132311541535129,1,2,0
2021-06-01,HARV,mean,0.41743593283711694,1,2,0
2021-06-02,HARV,mean,0.421610580125874,1,2,0
2021-06-03,HARV,mean,0.425755311941007,1,2,0
2021-06-04,HARV,mean,0.42987034265644997,1,2,0
2021-06-05,HARV,mean,0.43395588510993566,1,2,0
2021-06-06,HARV,mean,0.4380121506140043,1,2,0
2021-06-07,HARV,mean,0.44203934896693275,1,2,0
2021-06-08,HARV,mean,0.44603768846358605,1,2,0
2021-06-09,HARV,mean,0.45000737590619055,1,2,0
2021-06-10,HARV,mean,0.4493778946947073,1,2,0
2021-06-11,HARV,mean,0.4487568675189252,1,2,0
2021-06-12,HARV,mean,0.4481440815481347,1,2,0
2021-06-13,HARV,mean,0.44753933175050353,1,2,0
2021-06-14,HARV,mean,0.4469424205199365,1,2,0
2021-06-15,HARV,mean,0.4463531573248718,1,2,0
2021-06-16,HARV,mean,0.4457713583774902,1,2,0
2021-05-14,BART,mean,0.3670085714285714,1,2,0
2021-05-15,BART,mean,0.37312943742706633,1,2,0
2021-05-16,BART,mean,0.3791911162093045,1,2,0
2021-05-17,BART,mean,0.3851941801006022,1,2,0
2021-05-18,BART,mean,0.39113919589203544,1,2,0
2021-05-19,BART,mean,0.3970267248939549,1,2,0
2021-05-20,BART,mean,0.4028573229889831,1,2,0
2021-05-21,BART,mean,0.4086315406844989,1,2,0
2021-05-22,BART,mean,0.4143499231646151,1,2,0
2021-05-23,BART,mean,0.42001301034165284,1,2,0
2021-05-24,BART,mean,0.4256213369071185,1,2,0
2021-05-25,BART,mean,0.43117543238218775,1,2,0
2021-05-26,BART,mean,0.43667582116770126,1,2,0
2021-05-27,BART,mean,0.442123022593677,1,2,0
2021-05-28,BART,mean,0.44751755096834384,1,2,0
2021-05-29,BART,mean,0.4528599156267011,1,2,0
2021-05-30,BART,mean,0.4581506209786082,1,2,0
2021-05-31,BART,mean,0.4576328654990828,1,2,0
2021-06-01,BART,mean,0.45712476829871,1,2,0
2021-06-02,BART,mean,0.456625985794944,1,2,0
2021-06-03,BART,mean,0.4561361922440768,1,2,0
2021-06-04,BART,mean,0.4556550785331671,1,2,0
2021-06-05,BART,mean,0.455182351072244,1,2,0
2021-06-06,BART,mean,0.4547177307769802,1,2,0
2021-06-07,BART,mean,0.45426095213312767,1,2,0
2021-06-08,BART,mean,0.4538117623349689,1,2,0
2021-06-09,BART,mean,0.45336992049088015,1,2,0
2021-06-10,BART,mean,0.45293519688984113,1,2,0
2021-06-11,BART,mean,0.4525073723233755,1,2,0
2021-06-12,BART,mean,0.4520862374579799,1,2,0
2021-06-13,BART,mean,0.4516715922536042,1,2,0
2021-06-14,BART,mean,0.4512632454241956,1,2,0
2021-06-15,BART,mean,0.45086101393671235,1,2,0
2021-06-16,BART,mean,0.4504647225453693,1,2,0
2021-05-14,SCBI,mean,0.43266,1,2,0
2021-05-15,SCBI,mean,0.43235699573805314,1,2,0
2021-05-16,SCBI,mean,0.4320580856281985,1,2,0
2021-05-17,SCBI,mean,0.4317631632263519,1,2,0
2021-05-18,SCBI,mean,0.4314721261518329,1,2,0
2021-05-19,SCBI,mean,0.43118487588399745,1,2,0
2021-05-20,SCBI,mean,0.43090131757140504,1,2,0
2021-05-21,SCBI,mean,0.43062135985260575,1,2,0
2021-05-22,SCBI,mean,0.4303449146877096,1,2,0
2021-05-23,SCBI,mean,0.4300718971999708,1,2,0
2021-05-24,SCBI,mean,0.4298022255266813,1,2,0
2021-05-25,SCBI,mean,0.42953582067872603,1,2,0
2021-05-26,SCBI,mean,0.4292726064082043,1,2,0
2021-05-27,SCBI,mean,0.42901250908356814,1,2,0
2021-05-28,SCBI,mean,0.42875545757177225,1,2,0
2021-05-29,SCBI,mean,0.4285013831269694,1,2,0
2021-05-30,SCBI,mean,0.4282502192853196,1,2,0
2021-05-31,SCBI,mean,0.4280019017655164,1,2,0
2021-06-01,SCBI,mean,0.4277563683746607,1,2,0
2021-06-02,SCBI,mean,0.4275135589191428,1,2,0
2021-06-03,SCBI,mean,0.42727341512021516,1,2,0
2021-06-04,SCBI,mean,0.4270358805339648,1,2,0
2021-06-05,SCBI,mean,0.42680090047541236,1,2,0
2021-06-06,SCBI,mean,0.426568421946486,1,2,0
2021-06-07,SCBI,mean,0.4263383935676353,1,2,0
2021-06-08,SCBI,mean,0.4261107655128676,1,2,0
2021-06-09,SCBI,mean,0.42588548944800225,1,2,0
2021-06-10,SCBI,mean,0.42566251847195585,1,2,0
2021-06-11,SCBI,mean,0.4254418070608794,1,2,0
2021-06-12,SCBI,mean,0.42522331101498534,1,2,0
2021-06-13,SCBI,mean,0.42500698740790915,1,2,0
2021-06-14,SCBI,mean,0.424792794538463,1,2,0
2021-06-15,SCBI,mean,0.4245806918846473,1,2,0
2021-06-16,SCBI,mean,0.42437064005979414,1,2,0
2021-05-14,STEI,mean,0.36893,1,2,0
2021-05-15,STEI,mean,0.37478197690155335,1,2,0
2021-05-16,STEI,mean,0.38057968782047985,1,2,0
2021-05-17,STEI,mean,0.3863236359708079,1,2,0
2021-05-18,STEI,mean,0.3920143199002104,1,2,0
2021-05-19,STEI,mean,0.3976522335332767,1,2,0
2021-05-20,STEI,mean,0.4032378662143826,1,2,0
2021-05-21,STEI,mean,0.4087717027501633,1,2,0
2021-05-22,STEI,mean,0.4142542234515922,1,2,0
2021-05-23,STEI,mean,0.41968590417566987,1,2,0
2021-05-24,STEI,mean,0.425067216366726,1,2,0
2021-05-25,STEI,mean,0.4303986270973386,1,2,0
2021-05-26,STEI,mean,0.4356805991088737,1,2,0
2021-05-27,STEI,mean,0.4409135908516491,1,2,0
2021-05-28,STEI,mean,0.4404525674030581,1,2,0
2021-05-29,STEI,mean,0.4399993361858964,1,2,0
2021-05-30,STEI,mean,0.43955364579991385,1,2,0
2021-05-31,STEI,mean,0.4391152566986831,1,2,0
2021-06-01,STEI,mean,0.43868394045954273,1,2,0
2021-06-02,STEI,mean,0.4382594791087284,1,2,0
2021-06-03,STEI,mean,0.43784166449677087,1,2,0
2021-06-04,STEI,mean,0.437430297719741,1,2,0
2021-06-05,STEI,mean,0.43702518858237105,1,2,0
2021-06-06,STEI,mean,0.436626155099474,1,2,0
2021-06-07,STEI,mean,0.43623302303243605,1,2,0
2021-06-08,STEI,mean,0.43584562545786715,1,2,0
2021-06-09,STEI,mean,0.4354638023657753,1,2,0
2021-06-10,STEI,mean,0.435087400284876,1,2,0
2021-06-11,STEI,mean,0.43471627193287243,1,2,0
2021-06-12,STEI,mean,0.4343502758897388,1,2,0
2021-06-13,STEI,mean,0.4339892762922189,1,2,0
2021-06-14,STEI,mean,0.43363314254791074,1,2,0
2021-06-15,STEI,mean,0.43328174906745265,1,2,0
2021-06-16,STEI,mean,0.4329349750134554,1,2,0
2021-05-14,UKFS,mean,0.41561,1,2,0
2021-05-15,UKFS,mean,0.4174161168151547,1,2,0
2021-05-16,UKFS,mean,0.4192166516423391,1,2,0
2021-05-17,UKFS,mean,0.4210116217332555,1,2,0
2021-05-18,UKFS,mean,0.4228010442862882,1,2,0
2021-05-19,UKFS,mean,0.4245849364466679,1,2,0
2021-05-20,UKFS,mean,0.4263633153066364,1,2,0
2021-05-21,UKFS,mean,0.42602496305998583,1,2,0
2021-05-22,UKFS,mean,0.4256912137288934,1,2,0
2021-05-23,UKFS,mean,0.4253619472235572,1,2,0
2021-05-24,UKFS,mean,0.42503704804926956,1,2,0
2021-05-25,UKFS,mean,0.42471640507603264,1,2,0
2021-05-26,UKFS,mean,0.4243999113223929,1,2,0
2021-05-27,UKFS,mean,0.42408746375245715,1,2,0
2021-05-28,UKFS,mean,0.4237789630851386,1,2,0
2021-05-29,UKFS,mean,0.4234743136147608,1,2,0
2021-05-30,UKFS,mean,0.42317342304221894,1,2,0
2021-05-31,UKFS,mean,0.42287620231596335,1,2,0
2021-06-01,UKFS,mean,0.42258256548212825,1,2,0
2021-06-02,UKFS,mean,0.4222924295431832,1,2,0
2021-06-03,UKFS,mean,0.4220057143245333,1,2,0
2021-06-04,UKFS,mean,0.42172234234853845,1,2,0
2021-06-05,UKFS,mean,0.4214422387154632,1,2,0
2021-06-06,UKFS,mean,0.42116533099090525,1,2,0
2021-06-07,UKFS,mean,0.4208915490992852,1,2,0
2021-06-08,UKFS,mean,0.42062082522301036,1,2,0
2021-06-09,UKFS,mean,0.42035309370695456,1,2,0
2021-06-10,UKFS,mean,0.4200882909679224,1,2,0
2021-06-11,UKFS,mean,0.4198263554087885,1,2,0
2021-06-12,UKFS,mean,0.41956722733702634,1,2,0
2021-06-13,UKFS,mean,0.4193108488873607,1,2,0
2021-06-14,UKFS,mean,0.41905716394829556,1,2,0
2021-06-15,UKFS,mean,0.4188061180922879,1,2,0
2021-06-16,UKFS,mean,0.4185576585093526,1,2,0
2021-05-14,GRSM,mean,0.4444828571428571,1,2,0
2021-05-15,GRSM,mean,0.44405969067494117,1,2,0
2021-05-16,GRSM,mean,0.4436421463830383,1,2,0
2021-05-17,GRSM,mean,0.4432300819189051,1,2,0
2021-05-18,GRSM,mean,0.4428233602100386,1,2,0
2021-05-19,GRSM,mean,0.4424218492036668,1,2,0
2021-05-20,GRSM,mean,0.44202542162602837,1,2,0
2021-05-21,GRSM,mean,0.4416339547558607,1,2,0
2021-05-22,GRSM,mean,0.441247330211104,1,2,0
2021-05-23,GRSM,mean,0.4408654337479095,1,2,0
2021-05-24,GRSM,mean,0.4404881550711108,1,2,0
2021-05-25,GRSM,mean,0.44011538765538544,1,2,0
2021-05-26,GRSM,mean,0.4397470285763923,1,2,0
2021-05-27,GRSM,mean,0.43938297835122603,1,2,0
2021-05-28,GRSM,mean,0.43902314078757976,1,2,0
2021-05-29,GRSM,mean,0.43866742284105364,1,2,0
2021-05-30,GRSM,mean,0.4383157344800876,1,2,0
2021-05-31,GRSM,mean,0.4379679885580359,1,2,0
2021-06-01,GRSM,mean,0.4376241006919368,1,2,0
2021-06-02,GRSM,mean,0.43728398914756056,1,2,0
2021-06-03,GRSM,mean,0.436947574730353,1,2,0
2021-06-04,GRSM,mean,0.4366147806819136,1,2,0
2021-06-05,GRSM,mean,0.4362855325816774,1,2,0
2021-06-06,GRSM,mean,0.43595975825348937,1,2,0
2021-06-07,GRSM,mean,0.4356373876767832,1,2,0
2021-06-08,GRSM,mean,0.43531835290209575,1,2,0
2021-06-09,GRSM,mean,0.435002587970665,1,2,0
2021-06-10,GRSM,mean,0.43469002883787927,1,2,0
2021-06-11,GRSM,mean,0.4343806133003577,1,2,0
2021-06-12,GRSM,mean,0.434074280926458,1,2,0
2021-06-13,GRSM,mean,0.43377097299002043,1,2,0
2021-06-14,GRSM,mean,0.4334706324071694,1,2,0
2021-06-15,GRSM,mean,0.4331732036760053,1,2,0
2021-06-16,GRSM,mean,0.4328786328190296,1,2,0
2021-05-14,DELA,mean,0.4183585714285714,1,2,0
2021-05-15,DELA,mean,0.4232994745501461,1,2,0
2021-05-16,DELA,mean,0.42819840589588504,1,2,0
2021-05-17,DELA,mean,0.4330557220058627,1,2,0
2021-05-18,DELA,mean,0.43278070938476737,1,2,0
2021-05-19,DELA,mean,0.43250822045332094,1,2,0
2021-05-20,DELA,mean,0.43223821086161407,1,2,0
2021-05-21,DELA,mean,0.43197063740525665,1,2,0
2021-05-22,DELA,mean,0.43170545798649085,1,2,0
2021-05-23,DELA,mean,0.4314426315769344,1,2,0
2021-05-24,DELA,mean,0.43118211818187346,1,2,0
2021-05-25,DELA,mean,0.4309238788060282,1,2,0
2021-05-26,DELA,mean,0.4306678754207194,1,2,0
2021-05-27,DELA,mean,0.43041407093236733,1,2,0
