time,siteID,gcc_90,gcc_sd
2016-12-13,SCBI,0.32509,2.4633777706263056e-4
2016-12-14,SCBI,0.32544,0.0013908347955711444
2016-12-15,SCBI,0.32584,0.0018627326426406922
2016-12-16,SCBI,0.32565,1.185454360494858e-4
2016-12-17,SCBI,0.32563,1.8899843428787027e-4
2016-12-18,SCBI,0.32689,2.2090558053205082e-4
2016-12-19,SCBI,0.32496,9.596135489171316e-5
2016-12-20,SCBI,0.32504,0.0028270796138165468
2016-12-21,SCBI,0.32554,5.173016725356925e-5
2016-12-22,SCBI,0.32644,0.002902356932788615
2016-12-23,SCBI,0.32538,1.109495656703977e-4
2016-12-24,SCBI,0.32604,1.5137900132058252e-4
2016-12-25,SCBI,0.32516,0.0029916184344168694
2016-12-26,SCBI,0.32667,3.0524289424947943e-4
2016-12-27,SCBI,0.32658,5.254159230979663e-4
2016-12-28,SCBI,0.32564,0.001585108299139208
2016-12-29,SCBI,0.32598,2.611840198880767e-4
2016-12-30,SCBI,0.32485,4.0500179087534985e-4
2016-12-31,SCBI,0.32481,1.3060380342619533e-4
2017-01-01,SCBI,0.32561,3.2146989956531363e-4
2017-01-02,SCBI,0.33354,0.0011604526217588234
2017-01-03,SCBI,0.3344,4.7804709015762567e-4
2017-01-04,SCBI,0.326,3.9797965079758896e-4
2017-01-05,SCBI,0.32434,1.3454519004136336e-4
2017-01-06,SCBI,0.32839,2.8102105665896355e-4
2017-01-07,SCBI,0.32784,3.7820197821605053e-4
2017-01-08,SCBI,0.32738,3.865669327159065e-4
2017-01-09,SCBI,0.32829,4.0139901467193515e-4
2017-01-10,SCBI,0.32764,8.661435993493354e-5
2017-01-11,SCBI,0.32566,0.0012477733474195601
2017-01-12,SCBI,0.32686,2.896777914461875e-4
2017-01-13,SCBI,0.32583,3.810587099229685e-4
2017-01-14,SCBI,0.33014,0.0016245531876771092
2017-01-15,SCBI,0.32571,4.803469834294955e-5
2017-01-16,SCBI,0.32652,1.9663150659992375e-4
2017-01-17,SCBI,0.32558,4.187340376488544e-4
2017-01-18,SCBI,0.32675,2.141203133087298e-4
2017-01-19,SCBI,0.32561,7.117341856483166e-5
2017-01-20,SCBI,0.32617,4.6622355196639743e-4
2017-01-21,SCBI,0.33141,0.0015456928423387088
2017-01-22,SCBI,0.33607,7.583591890336904e-4
2017-01-23,SCBI,0.3332,0.0013800871029890532
2017-01-24,SCBI,0.32773,7.957742311351714e-4
2017-01-25,SCBI,0.3277,0.0015781389897662364
2017-01-26,SCBI,0.3268,9.60414779442431e-4
2017-01-27,SCBI,0.32538,1.2151647406581176e-4
2017-01-28,SCBI,0.32619,1.1433106243158036e-4
2017-01-29,SCBI,0.32564,1.1290758366459927e-4
2017-01-30,SCBI,0.32812,2.6397224653128916e-4
2017-01-31,SCBI,0.32744,1.8235214194921236e-4
2017-02-01,SCBI,0.3274,3.3213390218343064e-4
2017-02-02,SCBI,0.32587,3.8072762989211023e-4
2017-02-03,SCBI,0.3264,1.694501311264575e-4
2017-02-04,SCBI,0.32585,0.0031074766793417834
2017-02-05,SCBI,0.32707,2.7378860011151844e-4
2017-02-06,SCBI,0.32682,0.001405453795405741
2017-02-07,SCBI,NA,NA
2017-02-08,SCBI,0.32772,8.403692094331528e-5
2017-02-09,SCBI,0.32557,4.46455530614566e-4
2017-02-10,SCBI,0.3262,1.2403623729888538e-4
2017-02-11,SCBI,0.32776,3.309240001534391e-4
2017-02-12,SCBI,0.32855,5.385930651205139e-4
2017-02-13,SCBI,0.32585,3.214276825384522e-4
2017-02-14,SCBI,0.32629,1.2335794937283002e-4
2017-02-15,SCBI,0.3261,2.4391366823329715e-4
2017-02-16,SCBI,0.32558,6.742246945755229e-5
2017-02-17,SCBI,0.32608,1.4333907851165223e-4
2017-02-18,SCBI,0.32743,0.002688196793391437
2017-02-19,SCBI,0.32725,1.4792786438403886e-4
2017-02-20,SCBI,0.32725,0.0023774712973653133
2017-02-21,SCBI,0.32641,1.7037413811601701e-4
2017-02-22,SCBI,0.32778,6.737444861763765e-5
2017-02-23,SCBI,0.32923,8.762044326269412e-4
2017-02-24,SCBI,0.3279,0.001963453796195862
2017-02-25,SCBI,0.32866,7.938419531182593e-4
2017-02-26,SCBI,0.32533,0.0017952190493368857
2017-02-27,SCBI,0.32685,7.971714280593985e-5
2017-02-28,SCBI,0.3286,0.0013792798469949988
2017-03-01,SCBI,0.32745,2.852429712596897e-4
2017-03-02,SCBI,0.32601,3.0508834451546186e-4
2017-03-03,SCBI,0.32721,6.98745517600899e-4
2017-03-04,SCBI,0.32586,0.0010955080686929864
2017-03-05,SCBI,0.32648,0.0011439134732512436
2017-03-06,SCBI,0.32738,1.4205552378114742e-4
2017-03-07,SCBI,0.32744,9.307850756983796e-5
